,date,start_time,end_time,start,end,label
0,2023-12-17,10:44:49,10:48:59,2023-12-17 10:44:49,2023-12-17 10:48:59,装
1,2023-12-17,11:29:45,11:31:55,2023-12-17 11:29:45,2023-12-17 11:31:55,卸
2,2023-12-17,12:23:56,12:29:44,2023-12-17 12:23:56,2023-12-17 12:29:44,装
3,2023-12-17,12:55:08,12:56:28,2023-12-17 12:55:08,2023-12-17 12:56:28,卸
4,2023-12-17,13:45:02,13:45:42,2023-12-17 13:45:02,2023-12-17 13:45:42,装
5,2023-12-17,14:18:27,14:19:47,2023-12-17 14:18:27,2023-12-17 14:19:47,卸
6,2023-12-17,14:59:59,15:03:59,2023-12-17 14:59:59,2023-12-17 15:03:59,装
7,2023-12-17,15:32:25,15:35:45,2023-12-17 15:32:25,2023-12-17 15:35:45,卸
8,2023-12-17,16:18:03,16:22:03,2023-12-17 16:18:03,2023-12-17 16:22:03,装
9,2023-12-17,16:55:15,16:58:01,2023-12-17 16:55:15,2023-12-17 16:58:01,卸
10,2023-12-21,10:35:58,10:40:59,2023-12-21 10:35:58,2023-12-21 10:40:59,装
11,2023-12-21,11:11:48,11:16:45,2023-12-21 11:11:48,2023-12-21 11:16:45,卸
12,2023-12-21,12:45:57,12:49:47,2023-12-21 12:45:57,2023-12-21 12:49:47,装
13,2023-12-21,13:25:51,13:27:41,2023-12-21 13:25:51,2023-12-21 13:27:41,卸
14,2023-12-21,14:11:21,14:14:51,2023-12-21 14:11:21,2023-12-21 14:14:51,装
15,2023-12-21,14:40:37,14:46:28,2023-12-21 14:40:37,2023-12-21 14:46:28,卸
16,2023-12-21,15:36:37,15:40:56,2023-12-21 15:36:37,2023-12-21 15:40:56,装
17,2023-12-21,16:55:50,16:58:08,2023-12-21 16:55:50,2023-12-21 16:58:08,卸
18,2023-12-22,10:21:29,10:30:19,2023-12-22 10:21:29,2023-12-22 10:30:19,装
19,2023-12-22,11:03:40,11:04:47,2023-12-22 11:03:40,2023-12-22 11:04:47,卸
20,2023-12-22,11:48:54,11:51:14,2023-12-22 11:48:54,2023-12-22 11:51:14,装
21,2023-12-22,12:13:32,12:15:02,2023-12-22 12:13:32,2023-12-22 12:15:02,卸
22,2023-12-22,12:25:23,12:29:43,2023-12-22 12:25:23,2023-12-22 12:29:43,装
23,2023-12-22,12:51:56,12:53:46,2023-12-22 12:51:56,2023-12-22 12:53:46,卸
24,2023-12-22,13:02:28,13:06:08,2023-12-22 13:02:28,2023-12-22 13:06:08,装
25,2023-12-22,14:02:36,14:03:32,2023-12-22 14:02:36,2023-12-22 14:03:32,卸
26,2023-12-22,14:12:12,14:15:46,2023-12-22 14:12:12,2023-12-22 14:15:46,装
27,2023-12-22,14:37:30,14:39:47,2023-12-22 14:37:30,2023-12-22 14:39:47,卸
28,2023-12-22,14:47:18,14:50:08,2023-12-22 14:47:18,2023-12-22 14:50:08,装
29,2023-12-22,15:07:13,14:09:23,2023-12-22 15:07:13,2023-12-22 14:09:23,卸
30,2023-12-22,15:18:05,15:21:16,2023-12-22 15:18:05,2023-12-22 15:21:16,装
31,2023-12-22,15:33:49,15:35:46,2023-12-22 15:33:49,2023-12-22 15:35:46,卸
32,2023-12-22,15:47:02,15:51:42,2023-12-22 15:47:02,2023-12-22 15:51:42,装
33,2023-12-22,16:06:25,16:07:45,2023-12-22 16:06:25,2023-12-22 16:07:45,卸
34,2023-12-23,08:53:29,09:00:38,2023-12-23 08:53:29,2023-12-23 09:00:38,装
35,2023-12-23,09:54:02,09:55:32,2023-12-23 09:54:02,2023-12-23 09:55:32,卸
36,2023-12-23,10:10:40,10:13:00,2023-12-23 10:10:40,2023-12-23 10:13:00,装
37,2023-12-23,10:38:19,10:41:29,2023-12-23 10:38:19,2023-12-23 10:41:29,卸
38,2023-12-23,10:55:50,10:59:59,2023-12-23 10:55:50,2023-12-23 10:59:59,装
39,2023-12-23,11:20:44,11:23:25,2023-12-23 11:20:44,2023-12-23 11:23:25,卸
40,2023-12-23,11:40:33,11:44:13,2023-12-23 11:40:33,2023-12-23 11:44:13,装
41,2023-12-23,12:01:26,12:03:52,2023-12-23 12:01:26,2023-12-23 12:03:52,卸
42,2023-12-23,12:21:40,12:24:49,2023-12-23 12:21:40,2023-12-23 12:24:49,装
43,2023-12-23,12:44:26,12:45:42,2023-12-23 12:44:26,2023-12-23 12:45:42,卸
44,2023-12-23,13:00:00,13:03:41,2023-12-23 13:00:00,2023-12-23 13:03:41,装
45,2023-12-23,13:22:31,13:25:39,2023-12-23 13:22:31,2023-12-23 13:25:39,卸
46,2023-12-23,13:41:58,13:45:08,2023-12-23 13:41:58,2023-12-23 13:45:08,装
47,2023-12-23,14:02:01,14:03:36,2023-12-23 14:02:01,2023-12-23 14:03:36,卸
48,2023-12-23,14:17:19,14:23:06,2023-12-23 14:17:19,2023-12-23 14:23:06,装
49,2023-12-23,14:44:58,14:46:48,2023-12-23 14:44:58,2023-12-23 14:46:48,卸
50,2023-12-23,14:57:39,15:06:08,2023-12-23 14:57:39,2023-12-23 15:06:08,装
51,2023-12-23,15:22:29,15:24:20,2023-12-23 15:22:29,2023-12-23 15:24:20,卸
52,2023-12-23,15:38:42,15:41:34,2023-12-23 15:38:42,2023-12-23 15:41:34,装
53,2023-12-23,16:02:45,16:05:40,2023-12-23 16:02:45,2023-12-23 16:05:40,卸
54,2023-12-23,16:20:28,16:22:17,2023-12-23 16:20:28,2023-12-23 16:22:17,装
55,2023-12-23,16:41:09,16:46:51,2023-12-23 16:41:09,2023-12-23 16:46:51,卸
